review,sentiment
built dashboard website display data collected plcs field devices user site see different widgets sourcing different data different deviceswe dont want update website every time new user new device added built system aws using sqs java servlets dynamically serve widgets html elements webpage via server sent eventsit old tech rudimentary probably horrifically inefficient currently buggy get data gets one widget render moment needs worki crossroads continue working system get working smoothly adopt dashboarding framework ive read introductions handful frameworks dashboards general frontends none seem anything mechanically already make things pretty also none explicitly spell would solve different users different widgets different devices different data problemdoes anyone know anything looking specifically making backend working easier dynamically creating widgets populating data external sources make pretty later,stability
im looking mac equivalent oziexplorer load georeference map files tiling multiple map files together load edit save track data nice talks gps required find programs read write gps locked proprietary map formatit need able convert map files usable gpsthe idea make reasonable directory map files plan trip figure paper maps need buy also preload tracks gps use trip,stability
might overkill take look grass gis   cross platform open source gratis free work multiple sources formats information modules available interface various gpssto quote web site grass gis commonly referred grass geographic resources analysis support system free open source geographic information system gis software suite used geospatial data management analysis image processing graphics maps production spatial modeling visualization grass gis currently used academic commercial settings around world well many governmental agencies environmental consulting companies founding member open source geospatial foundation osgeo   https grassosgeoorg,stability
want make block graph send videos using ofdm qpsk  qam usrp gnuradio however examples internet suitable transferring videosif know example send block graph would appreciate could give link answer,stability
trying create qr code scanner scans qr code android device basically id like create security system lets tenants building qr code matches anyone database requirements required complete project simulation good idea instead getting electric gate assistance appreciated regards,stability
use sites like timeanddatecom get detailed information timezone realworld location example https wwwtimeanddatecom time zone usa sanfrancisco tells amongst things san francisco usa pacific time utc utc doesnt tell tzdata timezone https enwikipediaorg wiki list of tz database time zones city case know answer america los angeles website allows enter location city name returns tzdata timezone city userinterface required api,stability
backup purposes run tree  commandstree f treetxttree treewoftxtit looks like textfile treewof without file names folder names actions braid animated gif braid game my collection  gifs rudebootie  reaction abandon thread fuck shit adventure time amazed excited nailed cats pets animals children demolition clapping community controversial upvote downvote dancing deal didnt read lol disgustand thats okay amount got txt files big  mb imagine many entries thousand thousand entriesi need parser browser explorer make txt somehow humanely browsable searchable would neat option must instance id like open close rudebootie actions etc view subfolders files times want thatis software like better yet theres software indexes indexes whats hdd including single files please mention need viewable browseable file browse case dataloss know lost  https enwikipediaorg wiki tree  command,stability
looking something link shopify manage inventory said app connect nonintegrated sales channels manually need differentiate stock inside sales channel subtract acordingly regards base inventoryi tried katana seems based towards people selling products sort build time portion application ignored curious solid options zoho inventory,stability
another solution would use software mounts sftp server network drive windows use whichever media player likefor example sftp net drive https wwwnsoftwarecom sftp netdrive im sure others,stability
im looking way access computer network computer outside local area nat   forced isp currently im using vnc server capable routing connection servers im looking solution ssh controlling microcomputers thinking vpns thats like way avoid region blockade instead externally accessing lan solution may paid,stability
im project implementation argumenting stablished restful web service application based three layer architecture hibernate sql database mysql less efficient application implemented nosql database eg mongodb   variations new web service came mind functionalities nosql first getting rest layer ignoring domain data layer second one using hibernate ogm changing original code already implemented hibernate dont know efficient first alternative better first second alternative,stability
would like give people chance upload files server dont need account password protection would nice webfrontend work pretty mobile users upload images would nice images shown tumbnails upload would also nice users wold get link uploading could use delete files themselfnice things necessary first simple nice looking drop files server tool like shareriseupnet upload single files files encrypted need files unencrypted server,stability
currently company uses zendesk support tickets zendesk details remotely connect customers problem arises many clients multiple requests one person assigned client time comes another support person would like access clients pc remotely end situation whereby one person kick current connection would like simple repository would hold connection details every time person wants access client would check documents name thereby locking file access done know many svn products tfs git tortoise etc coders group difficult well however really necessary simple task access details word document possibly product linked zendesk well suggestions would helpful,stability
looking http testing acts client server wellis tool available enter image description       https istackimgurcom rdhippng,stability
im currently writing master thesis communication sciences id need know program extracting data public instagram accounts followers pictures likes comments captions etc know something like facebook called netvizz wasnt able find similar program instagramany help would greatly appreciatedthank gianna,stability
security perspective linux boxes want list suid enabled files find command,stability
imagine sentene hellomynameisvictori want identify one words hello name victordoes one know api able,stability
ive got problemrecently formatted computer ended losing data certain program saved files pdf however need dec format launch system could help meis possibility convert pdf dec,stability
trying convert audio files flac format wav using soxtransformer library getting error install sox cannot process flac files stdout nstderr format err soxcoresoxerror stdout none stderr nonemay one helps solve give option convert files,stability
work many companies one different vpn servers protocols fortinet checkpoint openvpn installed dozen vpn clients mac app replace clients one app handle protocols properly,stability
used gatling jmeter http testing looking performance testig http  tool good start suggestions welcomethanks,stability
building page nonstandard menu combination scrolling section subpages want make menu highlighted active page section current page gives page highlights links page would like main page active section highlightedi would like ask help solving problem,stability
report subreport report line big subreport looks ok report line height bigger usually subreport height increase automatically enter image description       https istackimgurcom tni npng,stability
im developing netcore project server side taked refresh token access token need authorization code refresh refresh tokenhow take authorization code idea refresh refresh token,stability
want use keycloak oauth   factor auth project use service freeotp google authenticator  fa made many research couldnt find good example,stability
network   users need reserve instruments daily using custom perl script solaris signup computer accessed using ssh client like putty pain point users wish able access signup computer directly webpage without download putty plugin browser server side terminal ssh plugin preferably installed wordpress accomplish taskideally would like see terminal open small window tab browser prefer professionally maintained supported softwares vs free unsupported software,stability
research project want create data set lists government entities world country executive judicial legislative scraping category page wikipedia https enwikipediaorg wiki categorygovernment agencies by country pages cia website https wwwciagov library publications worldleaders wikipedia page want crawl relevant subcategories scrape page names entity names subcategory filter non relevant informationi started using r package rcrawler taskhere sample code usingrcrawler website https enwikipediaorg wiki categorygovernment agencies by country crawlurlfilter wiki category extractcsspat c #mwpages h #mwpages effective crawling scraping needs filtering sub categoriesmy advisor suggested look using importio taskwould importio effective task going lot hyperlinksam better sticking r improving codeor something else likely effective,stability
developing epos system using c sharpe wpf need good reporting system printing receipts using thermal printers also sales reports reporting system need end user report designer also would prefer compatible mvvm pattern also use caliburnmicro,stability
im messing around raspberry pi take image pi upload azure store blob im trying access container blobs stored make sort gallery images stored would best way,stability
microservicebased system issue example service fetch data store database like mongodb service b query data database calculationonce service publisher finishes job event bus raise event service b subscribe event job case dont need stream processing functionality wanna software play role event bus rabbitmq kafka one better using aspnet core recommendations,stability
screenplain command line version convert fountain files pdf final draft htmlyou need python pip installed install screenplain screenplain pdf sudo pip install screenplain sudo pip install screenplain pdf use type screenplain samplefountain samplepdf fdx html wanted formatted text files pdf files use popplar utilities type pdftotext layout nopgbrk samplepdf sampletxt nopgbrk gets rid page break code layout maintains layout pdf document ive also used afterwriting see find easier tweak python code want bold double spaced sluglines example make changes pdfpy file subdirectory export screenplain theres link screenplain github page bottom online screenplain site screenplaincom edit installed wrap courier prime nice edit nice ran odd problem characters name estella use name beginning line capitalized wrap thinks scene header also tried esther intima results names like ella work fine couple others done deal pros forums trying figure guessed ext est int might cause wrap think line following slugline however also strange behavior using one names character name case doest treat estella dialogue line follows header leaves lines flush left odd ill try contact developer github page figure edit  bug already fixed   incredibly fast like wrap lot,stability
guys please suggest software tool compare performance vdi machine physical thanks,stability
need create app maps annotations main idea create custom map place points annotations place objects questions use build custom maps create map scratch organize data structures use,stability
good evening please excuse correct place ask question gladly post elsewhere would take time show wherei starting new pet project ill work existing java git project said project many branches got stopped point main project develop date saison  ended   saison  ended   saison  ended   guess branches stopped various past dates want downgrade develop branch saison  branch keeping major bugfixes security updates various improvements develop branch getting back various features saison  branchwhat would best software tool use order tried simply compare two branches within eclipse huge number files makes crash   files synchronize view really helpingthank suggestion,stability
looking free commercial use php library help error handlingideally must hook error exception handling add one line code kick offit would nice could override places continue default handler possibly callsit gather much information possible present clear manner eg file name line number error exception info stack dump globals  post  get etc local variables possible kitchen sinkit possible control information presented instance development might want see browser developer console production would probably want email possibly inform user problem occurred handled maybe providing link info,stability
environment windows want manage qubes os usb use qubes os without breaking windows like tails booti downloaded qubes os iso file put usb using rufus plugged restarted displayed follows anything know choose http wwwlinuxcommunityde wpcontent uploads     qubespng   https proxyduckduckgocom iu uhttpsafftsemmbingnetfthfiddoipulxqbckmqyvouezofahafjpiddf,stability
publish open source android modules need create list dependencies use name version license website rather preparing list hand keep uptodate want automate process dependencies listed buildgradle files able extract module name version map license websitei havent yet found tool feel must least one,stability
used knox mac file folder encryption software however moving windows im looking similar software thing basically need software encrypt files folders using  bit advanced encryption standard better need use password unlock also like send encrypted vaults people unlock password typical encryption software seen windows including kaspersky create new data encryption specify size vault example created data encryption vault gb work large files maxed quickly way increase memory size vault created set stone things need ideally work mac windows share vault use password unlock  bit advanced encryption standard better easy use must set memory size im happy use free paid software,stability
hoping someone helpi using vscode web development windows machine extension installed like auto close tag bootstrap   otherso switched mac tried install extensions none workingchrome default browser,stability
trying send fax twilio number capable receiving fax shown mobile number gets call twilio number fax sent please tell number able receive fax stop useless call,stability
list     book titles would like find amazoncom make estimate much total value books would software could help searching book titles compiling prices amazon total sum,stability
importing large json file gb via command mongoimport db leopard collection roadmonitor file datajson batchsize finally stuck  point program keeps printing line collection shows  records via count laptop started get stuck running memorycusersharvienmongoimport db leopard collection roadmonitor file roadmonitor ridecomfortebf datajson batchsize t connected localhostt # leopardroadmonitormb gb  t #### leopardroadmonitormb gb  t ######### leopardroadmonitormb gb  t ######### leopardroadmonitormb gb  t ######### leopardroadmonitormb gb  t ################## leopardroadmonitormb gb  t ################## leopardroadmonitormb gb  t ######################## leopardroadmonitorgb gb  t ######################## leopardroadmonitorgb gb  t ######################## leopardroadmonitorgb gb  t ######################## leopardroadmonitorgb gb ,stability
looking solutions able make signin signup functions flow component module something used mobile apps web apps inside organization many apps requiring signin signup functions currently app developers crafting ui also calling apis signin signup similar codes handling signin signup obviously scattered across projects worst want add google auth example apps require google auth must change refactor apps time change backend side needed well read bit solutions like ibm worklight similar ideas like react native pitch development one time deployment onto multiple platforms except using offtheshelf technologies best practice suggestion intending achieve similar purpose real example actually bad idea universal login module,stability
looking replace pug   template engine nodejs server something syntax closer actual htmlideally template engine least support partials support conditions ie else expressions support passing variables   https pugjsorg,stability
change codes pythonicpythoninput output      e input outputextend e print output #     ,stability
im working art project want generate horoscopes based current planet positions want makes somewhat realistic dont know planet positions api something horoscopes free anyone know anything like im making basic web app html css js helps,stability
programmablewebcom  first place stop looking web apis covering sorts subject matterquick search shows promising results astrology like cerridwen  cerridwen provides planetary data focuses solar system suitable astronomical astrological uses data includes sunrise times phases moon tropical position sun etc cerridwens primary data sources swiss ephemeris library algorithms calculate phases moon planetary aspects eventsand planet position youll find ephemeris   ephemerides singular ephemeris tables values give positions astronomical objects sky given point time object positions written terms right ascension declination davy wybiral created ephemeris api method querying nasas jet propulsion laboratory jpl planetary ephemerides generally created support spacecraft missions planets astrophyscom ephemeris service accessed using restful calls issued json format  https wwwprogrammablewebcom  https wwwprogrammablewebcom api cerridwen   https wwwprogrammablewebcom api astrophyscomephemeris,stability
im looking plugin service replicate kind survey https scandidcocom css isnt problem need base functionalityany recommendationsthanks,stability
someone almost coding knowledge looking software integrate wordpress website performs functions tendera tender like bidding system except bids submitted along various documentation creator tender choose bid accept opposed ebay bid system highest price automatically wins searched hours unable find anything suitable,stability
im trying find reliable user friendly software used sync two external hard drives one way order keep sync data,stability
dozen pdfs large specifically pdfs total  gb pdfs primarily scanned images textual documents contain text data need ocr extract text pdftotext separate viewing fact im currently soi need software following lets search contents multiple pdfs text files either necessarily particular string ideally fuzzy regex search would available gui okay need preprocess data commandline utility im posting behalf someone without skills runs windows macos either single multiplatform program two osspecific programs work linux support would nice evaluate required doesnt choke literally hundreds thousands pages need modify documents search,stability
ive obtained books form xml files xml seems output abbyy program presumably based ocr actual books im looking software files converted something readable id prefer pdf output html ebook formats ok permit reading texti cannot use anything proprietary commercial must oss ware works linux preferably ubuntu repositorywebsearching useless brings endless results either using abbyy commercialware converting xml pdf ocr,stability
task manager create faq frequently asked questions based     emails questions requests use freshdesk use emailsdo know solutions problem believe common thank advancei asked freshdesk support tools,stability
application business logic written php front end regular html mysql database want convert app latest technolgies main concerns scalability security infrastructure maintenance backup restore etc ideally want use react frontend design development heard one friends amazon aws good candidate dynamodb databasecan someone give guidance suggestions respect want utilize much exising code possible time dont worry infrastructurelevel details like backups restores security scalability etcsorry might asked many questions postthanks mike,stability
want create mobile application gets takes photo make changes main thing want theres person photo remove background change background white color anything elsei dont want send images server everything done without internet connectioni think cant done reactnativeis way build app android ios platform using python languages please guide separately android iosany help would appreciated,stability
want visualize process diagram like picture wondering javascript library python library use want diagram dynamic example user clicks text box inclusief leiderschap id like diagram transition show next textbox uitleg provides information topic also want diagram shrink fit div svg text boxes appear already used djs past making interactive graphs wondering library would useful case process diagram    https istackimgurcom usx qpng,stability
around   windows   pc multiple network printersi need software managing printers desk example need install manage delete printer desktop number   want system without interrupting usersis printer management software job,stability
looked high low mockup tool aka prototyping ux ability import raw html website url come dry far found dozens programs offline cloud based one boasts feature looking several ones demoed ability export html supported css also export assets images closest tried called justinmind  however implementation importing html widget nothing textbox tiny html properties window paste html screenshot justinmind html widget properties   believe designed adding small snippets html entire websitesperhaps someone idea use tool plugin need procedure like save website single html file convert different format open mockup toolim desperate mockup tools seen far like baking cake getting eat iti couldnt really find better tag went question would possible create prototyping tag alternately anyone think good tag leave comment edit question  https wwwjustinmindcom  https istackimgurcom x ioypng,stability
title says dont care command line gui dont need batch capabilities willing open pdf editor file save want something oneoff convert   page pdf close possible ms word format even end manually update stuff heading levelsthere images document makes easier,stability
several online choices one use pdfrelated needs bunch conversion joining functions url one relevant question pdf docx https pdf docxcom depending standards expectations complexity document pretty good jobas mentioned choices like one least writing free charge without overly aggressive ads doesnt require registration least one free competitors throws modal dialog leading knows many survey questions ads letting download resulting file,stability
looking framework translate text questions sentences sql queries given relational database schemafor instance assuming refer northwind database system translate show orders   select orders year orderdate  as literature plenty papers research direction still none seems provide open usable frameworks open source projects implemented approaches often broken naivedo references existing working frameworks,stability
suggest business network software helps connecting two types users specific sector example vendors sellers specific product service dont need cart based system product gallery one care users profiles interaction business network customisable even code levelwhether open source commercial options okay,stability
im teacher give classes web developing im looking web app create challenges like reproduce layout correct mistake user clicks happen id like create questions actual code students answer correct code toofirst im looking html css javascript itd awesome also php sql,stability
want make web app backend database basedappi worked mern stack make web app little knowledge firebase never mobile app neither ios android knew reactnative could used crossplatform dont know also case firebase want video steps follow could get familiar could make web app didnt started yet cross platform web ios android,stability
security noob website starting experience ddos attacks lot requests made arbitrary endpoints source ips common approaches dealing,stability
im looking tool measure quality audio file recorded call would like give audio file input get data much noise present recording,stability
looking code editor specific features windows commercial free ###list required features editor languageagnostic languageaware features customizable importable exportable via external definitions transparent user possibleso example create custom language create custom lexer highlighting schemes etc ability use create advanced features language eg grammar checkers variable function lists etc obviously would great scriptable programmable must support scripting ideally python access text caret internal editor features program editing features bind shortcuts ideally possibility use gui editor eg show list sidepanel etc  highly customizable syntax highlighting features ie basic things ability define styling individual characters sequences eg regex matching set different font size color match please note emphasis  lines different height example set styler pt font matches whole line line  height compared height lines pt size  ideally support line indents treelike editing indentation level nesting level must accessible via scripting eg generate runnable python code note please dont confuse indentation inserting space tabs character indents noneditable horizontal space important note requirement no even though editors extra rich formatting options common problem applicable socalled tokens eg keywords functions please note enough better understand mean concrete examples need set font size cyrillic letters inside strings set font size numbers inside identifiers set font size hyphen character inside word etc ###further criteria less important fast responsive without much bloat would great actively developed least chance useful features added advanced scripting api interactive features example ability read mouse coordinates detect character line mouse cursor adequate tabulation support indentaware intrusive annoying features like something blinking animations switching focus hogging cpuhdd etc ###question please suggest editor supports mentioned features even everything supported box possible via scripting extension please also give suggestion descriptions words even editor exactly codeeditor fulfill requirements make useful answer well real example illustrate alternative approach example one use eg word adobe indesign edit code generate sources pass tools yes would kind absurd task say eg indesign highlighting features eg code generation possible via scripting viable option theory ###what tested far lists feature### notepad++ editor fulfills many requirement still many features limitedsuper fast bloat based scintilla engine many advanced features ahead timesomething possible via plugins note developing plugin basically requires developing c++ application may quite challengeso feature list  partially eg define hilighting custom language must use udl limited see  builtin lexers hardcoded devguides lacking  yes eg using pythonscript plugin good  partially problem support regexbased matches define stylers various fonts sizes apply tokens defined lexer hardcoded via udl udl limited unified grammar tokenizer custom operator groups userdefined match sequences basically scintillas composer supports editor provide user way use directly  lines equal height  ### gvim great editor super fast customizable pretty limited graphical features yes  yes  herewith limited monospaced fonts nice bonus regexbased hilighting   ### vscode ive testing cant sure featuresits pretty slow lowend machine hardly usable  seems like tends extensible support language via extension whole picture unclear development seems pretty chaotic  extensions possible could spot clear instructions devguidealso seems many parts core editor customizable accessible   ,stability
use case data source several postgres databases stored locally data destination would like collect data sources store central cloud database data warehouse synchronization im interested incremental synchronization local cloud direction performed several times day backup im also interested pointintime backups local databases one backup per week oldest backup six months old necessary possible restore local database using corresponding cloud backup data retrieval would like query data central database data warehouse using r pythonive found elt pipe solutions apparently lack backup feature product combination products use case,stability
requirement publish business metrics like product viewed added cart bought etc create realtime alarms samethe nuance requirement reference threshold value setting alarm average past  months valuesample usecasetrigger alarm number views product less   average number views day week hour day past three months ex eval period wednesday  th april          hrs reference wednesday        hrs starting th january   rd april  trigger condition sum eval  avg sum ref please let know monitoring services available supports kind business metrics alarming using historic data upto year,stability
huge json file contains almost        objects person data fname john lname doe age  want search file object last name doe returns wanted objecti found two ways read json file object model stream stream method good data amout good practice optimizationthank much advance,stability
current dilemma need collect user registration information multiple  rd party websites could different cms platforms user data needs sent securely meaning cant embed simple mailto form emails data  rd party site im looking jotformcom option basically would create form  rd party site data sent jotformcom would store missing easier solution herethank,stability
looking alternative arcgis editing tasks mostly editing new polylines important arcgis feature freehand mode qgis instants offers something similar far away accuracy task mainly copy routes paper gis good accurcy difficult obtain however polylines need look smooth given qgis,stability
goal send pdf file text message find text message exist pdf file text message picture pdf file problem tool need use order use doesnt matter paid service doesnt matter open source info technology probably based machine learning regular user use without preknowledge code need send pdf file text message retrieve answer match result,stability
method cv  python extract sound images real time video simultaneously,stability
designed items currently  d print plan patenting however need provide technical drawings india ink equivalent anything convert standard  d printing formats something submit patent application,stability
hoping design site used adding clients usually  day speedy user friendly way site run local intranet wont open outside world seo need security crucial database behind site hold clients file individually readily searchable find client looking could searched number fields present client file collect information like name dob inputs dropdown selection fields freetext input would also like generate reports print save pdf files clients returned search resultthe site used nontech savvy people wont around support maintain back end fairly straightforwardi person gained experience drupal   years ago minimal coding mainly using extra modules wondering   years drupal would good way go dont know changed time new players gamewordpress appealing backend maintenance quite user friendly however feel optimized internet facing sites please correct wrong ive looked little wondered visual form builder plugin would appropriate want registered users able complete forms create records records need absolutely remain within sites databasedo recommendations focus reading many thanks,stability
enter image description   enter image description    https istackimgurcom ckglpng  https istackimgurcom  jdwupng page load showing table data properly chrome loading fast ie taking time load table data attached images anyone please tell change compatibility view settings ie setting also luck,stability
excel sheet hosts list + jpg files need edit images within set folders alongside many images need software would take list file names copy another directory renaming software would rename specific files folder rename isolate simple search,stability
member nonprofit organization    members division allocating works getting feedback status works members requirement isi allocate works members example allocate work buy  plants membera another similar work memberb get feedback status works allocated members emailing scheduling works cms webapp choose worki know choices preferences depend differ every persons need asking choice googled much could couldnt find software asking way start search,stability
application installed iphone ipad sends http https requests tcp udp requestswifi point configured windows laptop iphone ipad connected internet point  wireshark shows hosts request application goes message body encrypted therefore cannot viewed wireshark provide mitm certificate  burp suite allows install certificate iphone ipad pass traffic burp shows http https requests also need catch tcp udp requests view body   charles proxy allows install certificate like burp like burp catches http https connections also shows forwarded socket requests doesnt show bodyplease recommend windows preferred option macos software shows tcp udp connections decrypted body requests,stability
need x trustmanager android app build titanium dont know module somehow use x trustmanager native android susch module exist,stability
want develop html based geolocation tracker looking software draws route based coordinates one know free software taskediti almost websitehttp wwwgpsvisualizercom draw want track able draw node node time information,stability
finished debugging code pycharm code running anaconda environment therefore two choices run code anaconda prompt pycharm would like know one faster,stability
created application django rest framework backend javascript frontend currently installed windows ubuntu os per user environment worked pfsense bluecoat proxy two types interface one gui command based want get guidance create similar vm kind image application directly install hardware without need winos ubuntu im sure searching side looking,stability
im facing problems jenkins build history reason jenkins persist build history even im using build discarder declarative pipeline syntax im using followingoptions builddiscarder logrotator artifactdaystokeepstr artifactnumtokeepstr daystokeepstr numtokeepstr   would expect persist last   builds happen applying jenkins file constantly resets build    builds method persisting number builds jenkins build discarder im using wrongour jenkins installed kubernetes using jenkins lts version  thanks,stability
usb library julia language something similar pyusb python tried search online could find serialports actually uses pyserial python library via pycall,stability
require embedded database server rdbms document start within current application process connected network net recommendationsex starting embedded within applicationdbserverstart    sercurityoptions ex connecting server dbclientconnect serveripaddress credentials reason require server embedded user requires application installation components database engine also small footprint compared full fledged solutions ive come across ravendb however server looks like requires net core run vistadb option ive seen experience software embedded servers runs within application process would experience recommendations,stability
problems data binding androidin main acitivty another layout used showing current user connection statusactivity homexml layout xmlnsandroidhttp schemasandroidcom apk res android xmlnstoolshttp schemasandroidcom tools xmlnsapphttp schemasandroidcom apk resauto data import typeandroidviewview variable nameviewmodel typecomexamplemjagroskviewmodelsuiviewmodel data androidxconstraintlayoutwidgetconstraintlayout androidlayout widthmatch parent androidlayout heightmatch parent androidid id constraintlayoutstanje toolscontexthomeactivity androidxconstraintlayoutwidgetconstraintlayout androidlayout widthmatch parent androidlayout heightdp applayout constraintstart tostartofparent androidlayout marginstartdp androidlayout marginenddp androidvisibility viewmodelbottomstateshow applayout constraintend toendofparent androidlayout marginbottomdp applayout constraintbottom tobottomofparent androidid id constraintlayout textview androidtexttest androidlayout widthwrap content androidlayout heightwrap content androidid id txtuser applayout constraintstart tostartofparent androidlayout marginstartdp androidlayout marginbottomdp applayout constraintbottom tobottomofparent textview androidtext androidlayout widthwrap content androidlayout heightwrap content androidid id txtoddelek applayout constraintend toendofparent androidlayout marginenddp androidlayout marginbottomdp applayout constraintbottom tobottomofparent androidxconstraintlayoutwidgetconstraintlayout fragment androidnameandroidxnavigationfragmentnavhostfragment androidlayout widthmatch parent androidlayout heightdp appnavgraph navigation nav graph appdefaultnavhosttrue androidid id mainfragment applayout constraintstart tostartofparent androidlayout marginstartdp androidlayout margintopdp applayout constrainttop totopofparent applayout constraintend toendofparent androidlayout marginenddp androidlayout marginbottomdp applayout constraintbottom totopof id constraintlayout androidxconstraintlayoutwidgetconstraintlayout layoutuiviewmodel class uiviewmodelbaseviewmodel private val  showbottomstate nonnullmutablelivedata true val backpressed nonnullmutablelivedata false val bottomstateshowlivedataboolean get  showbottomstate fun showbottomstate  showbottomstatevaluetrue fun hidebottomstate  showbottomstatevaluefalse homeactivity class homeactivity appcompatactivity private val uiviewmodel viewmodeluiviewmodel val binding activityhomebinding databindingutilsetcontentview rlayoutlogin fragment override fun oncreate savedinstancestate bundle superoncreate savedinstancestate setcontentview rlayoutactivity home bindinglifecycleowner txtusersetonclicklistener uiviewmodelshowbottomstate error error cannot find symbol import comexamplemjagroskdatabindingactivityhomebindingimpl symbol class activityhomebindingimpl location package comexamplemjagroskdatabindingi enabled buildgradle databinding enabled true using android studio tried upgrading  still samedid rebuild restart restart pc make project clean project invalidate cacheschecked points https stackoverflowcom questions  databindingclassnotgenerated #am missing somethingthank help,stability
want create  inch x   inch instruction sheets products sell tried word photoshop divide letter sized page  equal parts dotted line im sure must better software,stability
think things easy python detailed referencedesigner  allow greater control want send create change script preimport serialser serialserial com    command bxxxxxxxcxcxfserwrite command serread  print pre  http referencedesignercom blog sendinghextextonserialportonwindows ,stability
ive got challenge need develop website show soccer scores paid api essentially need able integrate stack wordpressi could easily use fetch api make calls retrieve data directly client using js problem dont know best way terms security exampleshould use js trigger php calls eg using curl receive data server deliver client technologies use necessary,stability
two python versions ubandu system one python one python main used pythonute pythonpython  default mar       gcc      linuxtype help copyright credits license information exit currently want use python tried changed software link belowsudo rm rf usr bin pythonsudo ln usr bin python usr bin pythonthen reboot vm didnt work python still defaulti knew use python executed command install module used pyinstaller compile file alwaysed informed pythondev needs install dont know install pythondev seperately installed default install pythonhow resolve thanks help,stability
simple  table ms access database used  users simultaneously hosted windows   server database size  mb lately even accessed single user often receive message database inconsistencies access making backup takes quite often doesnt fix apparent issue next time open database thing againwe ending multiple copy x blah also wasting lot time simple record keeping processi know access really bad accommodating multiuser requests im hoping simple method migrating database alternative like mysql unfortunately experience mysql migration tools also something want spend lot time given return investment simple tutorial somewhere online migrating data forms pleasethanks,stability
detected adb dialog box    https istackimgurcom hynbzpngi unable find solution update android studio adb use emulator emulator slow takes lot memory never loads way im using nexus x api   emulator updated android studio today,stability
always obsession want upgrade tools latest versions basically takes time even repair projects lose compatibility deprecated functionsmy question worth much upgrade linux distros languages editors ides,stability
want build web app crawls scrapes multiple websites based user preference different products already code scraping working next build gui lets user select exactly wants see info like select area characteristics product found great way display collected info dash scraping code already python selenium however lack technology connects gui user filters saving data permanent database displayed dash although ill mostly showing tables probably flask react good idea handle gui user filters + binding permanent database,stability
tkinter   standard gui package creating desktop applicationsif want browserbased simple solution use html ajax json communicate python handle database crud everything else   https wikipythonorg moin tkinter,stability
im looking best sms call hiding app android phone using friendsi already tried many apps play storethere apps hide icon using dial padanyone know app like,stability
desktop home game servers running start stop servers batch files normally use teamviewer remote home desktop laptop im college however would prefer something lightweight click desktop home run command start servers requirements must run windows desktop laptop windows   bash ubuntu windows  installed must gratis  https wwwmicrosoftcom enus p ubuntu nblgghmsvrtcactivetabpivotoverviewtab,stability
